,First,Last,Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,weightclass
103,Corey,Anderson,Corey Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,,#N/A
104,Derek,Anderson,Derek Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,,#N/A
105,Megan,Anderson,Megan Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,,#N/A
106,Alex,Andrade,Alex Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,,#N/A
107,Jessica,Andrade,Jessica Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,21,9,0,,Women Flyweights
108,Viscardi,Andrade,Viscardi Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,,#N/A
109,Jermaine,Andre,Jermaine Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,,#N/A
110,Dylan,Andrews,Dylan Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,,#N/A
111,Reese,Andy,Reese Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,,#N/A
112,Julius,Anglickas,Julius Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,,#N/A
113,Collin,Anglin,Collin Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,1,0,,Featherweights
114,Yoji,Anjo,Yoji Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,,#N/A
115,Magomed,Ankalaev,Magomed Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,15,1,0,,#N/A
116,Gadzhimurad,Antigulov,Gadzhimurad Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,,#N/A
117,Adam,Antolin,Adam Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,,#N/A
118,Angelo,Antonio,Angelo Antonio,,--,205 lbs.,--,Orthodox,1,4,0,,#N/A
119,Azunna,Anyanwu,Azunna Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,,#N/A
120,Shinsho,Anzai,Shinsho Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,,#N/A
121,Shinya,Aoki,Shinya Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,,#N/A
122,Aori,Qileng,Aori Qileng,The Mongolian Murderer,"5' 7""",125 lbs.,"69.0""",Orthodox,18,7,0,,#N/A
123,Josh,Appelt,Josh Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,,#N/A
124,Erik,Apple,Erik Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,,#N/A
125,Kenji,Arai,Kenji Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,,#N/A
126,Romie,Aram,Romie Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,,#N/A
127,Felipe,Arantes,Felipe Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,,#N/A
128,Igor,Araujo,Igor Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,,#N/A
129,Viviane,Araujo,Viviane Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,10,3,0,,Women Flyweights
130,Julio,Arce,Julio Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,16,4,0,,#N/A
131,Art,Arciniega,Art Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,,#N/A
132,Tristan,Arenal,Tristan Arenal,,--,155 lbs.,--,,7,4,0,,#N/A
133,Hashem,Arkhagha,Hashem Arkhagha,Cavaca,"6' 2""",185 lbs.,--,,6,0,0,,#N/A
134,Andrei,Arlovski,Andrei Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,31,20,0,,#N/A
135,Joey,Armstrong,Joey Armstrong,,--,--,--,,5,2,0,,#N/A
136,Austin,Arnett,Austin Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,,#N/A
137,Ricardo,Arona,Ricardo Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,,#N/A
138,Chalid,Arrab,Chalid Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,,#N/A
139,Akbarh,Arreola,Akbarh Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,,#N/A
140,Matt,Arroyo,Matt Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,,#N/A
141,Antonio,Arroyo,Antonio Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,4,0,,Middleweights
142,Gilles,Arsene,Gilles Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,,#N/A
143,Veta,Arteaga,Veta Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,,#N/A
144,Cesar,Arzamendia,Cesar Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,,#N/A
145,Teddy,Ash,Teddy Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,,#N/A
146,Arman,Ashimov,Arman Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,,#N/A
147,Askar,Askar,Askar Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,,#N/A
148,Askar,Askarov,Askar Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,13,0,1,,Flyweights
149,Cyril,Asker,Cyril Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,,#N/A
150,Khusein,Askhabov,Khusein Askhabov,Lion,"5' 8""",135 lbs.,--,,23,0,0,,#N/A
151,Scott,Askham,Scott Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,,#N/A
152,Ben,Askren,Ben Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,,#N/A
153,Ibo,Aslan,Ibo Aslan,The Last Ottoman,"6' 3""",205 lbs.,--,,8,0,0,,#N/A
154,Tom,Aspinall,Tom Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,10,2,0,,#N/A
155,Bruno,Assis,Bruno Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,,#N/A
156,Junior,Assuncao,Junior Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,,#N/A
157,Raphael,Assuncao,Raphael Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,27,8,0,,#N/A
158,Bazigit,Atajev,Bazigit Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,,#N/A
159,Rich,Attonito,Rich Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,,#N/A
160,Olivier,Aubin-Mercier,Olivier Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,,#N/A
161,Pat,Audinwood,Pat Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,,#N/A
162,Jose,Augusto,Jose Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,,#N/A
163,Marcus,Aurelio,Marcus Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,,#N/A
164,David,Avellan,David Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,,#N/A
165,Blas,Avena,Blas Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,,#N/A
166,Levi,Avera,Levi Avera,,"6' 1""",170 lbs.,--,,18,15,0,,#N/A
167,Anthony,Avila,Anthony Avila,,"5' 7""",145 lbs.,--,,13,5,0,,#N/A
168,Chris,Avila,Chris Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,,#N/A
169,Julia,Avila,Julia Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,8,2,0,,Women Bantamweights
170,Saad,Awad,Saad Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,,#N/A
171,Javy,Ayala,Javy Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,,#N/A
172,Jessin,Ayari,Jessin Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,,#N/A
173,Abu,Azaitar,Abu Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,3,1,,#N/A
174,Ottman,Azaitar,Ottman Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,0,0,,Lightweights
175,Luiz,Azeredo,Luiz Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,,#N/A
176,Luciano,Azevedo,Luciano Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,,#N/A
177,Hunter,Azure,Hunter Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,,Bantamweights
0,,, ,,,,,,,,,,#N/A
1,Niklas,Backstrom,Niklas Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0,,#N/A
2,Seth,Baczynski,Seth Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0,,#N/A
3,Ryan,Bader,Ryan Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,,#N/A
4,Izabela,Badurek,Izabela Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0,,#N/A
5,Miguel,Baeza,Miguel Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,0,0,,Welterweights
6,Ali,Bagautinov,Ali Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0,,#N/A
7,Mehdi,Baghdad,Mehdi Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0,,#N/A
8,Melsik,Baghdasaryan,Melsik Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,5,1,0,,Featherweights
9,Siyar,Bahadurzada,Siyar Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1,,#N/A
10,Ignacio,Bahamondes,Ignacio Bahamondes,La Jaula,"6' 3""",170 lbs.,"75.0""",Orthodox,11,4,0,,Lightweights
11,Shamar,Bailey,Shamar Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0,,#N/A
12,Jordan,Bailey,Jordan Bailey,,"5' 9""",145 lbs.,--,,6,3,0,,#N/A
13,Scott,Baker,Scott Baker,,"6' 0""",210 lbs.,--,,1,1,0,,#N/A
14,Bryan,Baker,Bryan Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0,,#N/A
15,Oluwale,Bamgbose,Oluwale Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0,,#N/A
16,Stephen,Banaszak,Stephen Banaszak,,"6' 0""",145 lbs.,--,,5,5,0,,#N/A
17,Marcin,Bandel,Marcin Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0,,#N/A
18,Humberto,Bandenay,Humberto Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0,,#N/A
19,Tae Hyun,Bang,Tae Hyun Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,,#N/A
20,Yohan,Banks,Yohan Banks,,--,--,--,,2,1,0,,#N/A
21,Antonio,Banuelos,Antonio Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1,,#N/A
22,Renan,Barao,Renan Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0,,#N/A
23,Junior,Barata,Junior Barata,,"5' 10""",170 lbs.,--,Orthodox,9,3,1,,#N/A
24,Maycee,Barber,Maycee Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,8,2,0,,Women Flyweights
25,Bryan,Barberena,Bryan Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,15,7,0,,#N/A
26,Edson,Barboza,Edson Barboza,Junior,"5' 11""",145 lbs.,"75.0""",Orthodox,22,9,0,,Featherweights
27,Raoni,Barcelos,Raoni Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,16,1,0,,Bantamweights
28,Daniel,Barez,Daniel Barez,,"5' 6""",125 lbs.,--,,12,4,0,,#N/A
29,Luke,Barnatt,Luke Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0,,#N/A
30,James,Barnes,James Barnes,,"5' 8""",145 lbs.,--,,7,2,0,,#N/A
31,Nick,Barnes,Nick Barnes,,"5' 11""",170 lbs.,--,,11,2,0,,#N/A
32,Josh,Barnett,Josh Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0,,#N/A
33,Chris,Barnett,Chris Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,21,6,0,,#N/A
34,Chris,Barnhizer,Chris Barnhizer,,--,--,--,,2,3,0,,#N/A
35,David,Baron,David Baron,,"5' 6""",155 lbs.,--,Switch,17,4,1,,#N/A
36,Phil,Baroni,Phil Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0,,#N/A
37,Dan,Barrera,Dan Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3,1,0,,#N/A
38,Carlos,Barreto,Carlos Barreto,,"6' 4""",230 lbs.,--,Orthodox,14,9,0,,#N/A
39,Jose,Barreto,Jose Barreto,,--,185 lbs.,--,Southpaw,0,1,0,,#N/A
40,Peter,Barrett,Peter Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0,,#N/A
41,Marc-Andre,Barriault,Marc-Andre Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,12,4,0,,#N/A
42,David,Barrios,David Barrios,,"5' 6""",145 lbs.,--,,4,8,0,,#N/A
43,Alexandre,Barros,Alexandre Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22,11,0,,#N/A
44,Ricardo,Barros,Ricardo Barros,,"6' 1""",205 lbs.,--,,2,2,0,,#N/A
45,Francimar,Barroso,Francimar Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0,,#N/A
46,Pat,Barry,Pat Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0,,#N/A
47,Dean,Barry,Dean Barry,The Sniper,--,155 lbs.,--,,3,1,0,,#N/A
48,Enrique,Barzola,Enrique Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2,,#N/A
49,Stephen,Bass,Stephen Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11,2,0,,#N/A
50,Sean,Bassett,Sean Bassett,,--,155 lbs.,--,,0,4,0,,#N/A
51,Ryan,Bastianelli,Ryan Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6,7,0,,#N/A
52,Shayna,Baszler,Shayna Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15,11,0,,#N/A
53,Michel,Batista,Michel Batista,,"6' 3""",260 lbs.,--,Orthodox,4,1,0,,#N/A
54,Alan,Baudot,Alan Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8,2,0,,#N/A
55,Mario,Bautista,Mario Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,8,2,0,,Bantamweights
56,Chris,Beal,Chris Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0,,#N/A
57,Rudy,Bears,Rudy Bears,,"5' 11""",170 lbs.,--,Southpaw,16,15,0,,#N/A
